date,rating,review_text,thumbs_up_count,title
2025-11-13 18:06:55,1,One of the worst experience faced during the passport renewal. PSK said the mandatory documents listed on app and site are not updated properly.. Such waste of money and time both..,1,
2025-11-10 05:50:26,1,Disgusting app trying to login but it says try after sometime.... what's this....,1,
2025-10-30 07:23:38,1,why are my nearest places not listed in passport app,1,
2025-10-19 13:19:56,1,i apply date 17/10/2025 for pcc but some problem in app so I received my aplication details worng there is showing some later capital and somll and there is not My passport number and which country apply for pcc and purpose of pcc not showing and passport seva app always showing sorry can't talk to our servers right now so please help me,1,
2025-10-18 04:31:00,1,"not able to even log in , always shows an error message",1,
2025-10-11 14:37:56,1,"Worst app as expected because it's a government app , pathetic response, trying to login from last 5 hours but not being able to login",1,
2025-10-11 14:22:29,1,very erratic and unpredictable response most of times. very much disappointed.,1,
2025-10-11 12:22:31,3,"plz fix the problem, can't access login here, last was so good for using",1,
2025-10-10 16:53:06,1,The most pathetic app to ever exist! Doesn't even work. Why is it even listed on Playstore if it can't even do the job it's meant to? Stop wasting people's time ffs!,1,
2025-10-04 05:52:18,1,useless app,1,
2025-10-03 20:20:35,1,the new is so full of errors,1,
2025-10-02 20:56:33,1,"kaun gadha esko banaya bhai 1plus 12s de chala raha hu 60, 000 ka phone he kuch kam hi nahi deta ye app hamare INDIAN app ko please Etna regret mat karao 👍",1,
2025-10-02 12:14:49,1,"If pakistan would have any app , even that could be better than this app.",1,
2025-09-27 15:41:27,1,"old version was far too better, this one has so much glitch , filling the bday and then it is too slow ,after filling the full form the final one look white writing with white background...",1,
2025-09-25 15:29:23,1,"again a third class of application from government of india, where you can't login. !! all the best for digital India!! Uneducated Ministers can't order a good app!!",1,
2025-09-25 13:06:50,4,good,1,
2025-09-23 09:23:03,1,Unable to login. No error message shown. Previous app far more better.,1,
2025-09-22 11:39:35,1,during sign up getting session timeout on mobile application and on website after entering otp getting undefined. if it's under maintenance don't lunch the untested site and provide the old website instead,1,
2025-09-21 16:37:31,1,i cannot login into my account. The OTP takes ages to be sent to your email ID. Complete downgrade from the previous version.,1,
2025-09-21 01:54:21,1,worst app ever third class app. Everything in this app is not working. log in hi nahi kar paega koi jaldi.,1,
2025-09-20 09:48:16,1,"worst application, try for apply re-issue passport. not working 👎",1,
2025-09-20 05:21:56,1,cant type my name during registration.,1,
2025-09-20 02:12:57,1,OTP is not generated on time. unable to login site and this app as well...,1,
2025-09-19 13:35:15,1,otp ayega zamane baad or otp ke liye wakt sirf 10 second ka. jab dhang se app maintain nahi kar sakte to shuru kyu karte ho.,1,
2025-09-19 13:30:18,1,pathetic app,1,
2025-09-19 07:26:56,1,last class application,1,
2025-09-19 06:11:12,2,neee to improve application mobile app based,1,
2025-09-19 04:25:10,1,unable to sign in. post entering OTP. it's not moving to next screen.,1,
2025-09-16 10:44:29,1,"Cannot login. No issue reflected, just asking for password again & again.",1,
2025-09-04 04:44:27,1,i just wanted to register new fresh account my user id got stuck in the middle of OTP verification and user id sps account was not able to send OTP to register emil id can do have resolution for,1,
2025-09-03 15:59:01,1,government is always f* frustrating.. no update not organized always error always please try later. sell this app to a company bro they will manage it properly ******,1,
2025-09-02 04:16:24,1,"worst application ever, App functional is too slow and literally irritating App it is. won't deserve 1 star also",1,
2025-08-27 17:01:53,1,lots of burgs. lots of errors. Developer Team should work on perfection of services,1,
2025-08-25 16:55:52,5,manojramchnderpatel Tp13.tampel.shahibaba.blok25.room299.chahnij vadodara Gujarat,1,
2025-08-25 05:49:44,1,India is no listed the country list for my birth place...,1,
2025-08-25 00:28:45,1,worst app. ultra slow and document requirement page never opens.,1,
2025-08-24 18:50:14,1,"Not work properly, face problems in login & basic uses, bad experience, older site better than this update 😒",1,
2025-08-24 18:19:07,1,"Made me reconsider living here, but I can't even renew my passport.",1,
2025-08-24 16:52:06,1,bekaar raddi Congress ke time jaisa,1,
2025-08-24 12:19:51,1,"Unable to log in. enter creds and press log in button, just password keeps changing to random ones but will navigate to post log in page",1,
2025-08-24 09:17:58,1,very slow,1,
2025-08-24 07:40:14,1,"input fields are not working, whole app is buggy",1,
2025-08-22 13:09:13,1,"Just like the website, doesn't connect and doesn't work.",1,
2025-08-16 06:20:31,3,easy to operate but informations are noy t updated in time,1,
2025-08-12 05:20:52,1,appointment selection location not updated,1,
2025-08-08 06:42:08,1,"only login works, services keeps crashing the app and it keeps asking for log in even if you are already logged in. you logout and login again and it crashes when you try to access services.",1,
2025-08-04 13:11:28,1,"pathetic by GOI, how is when government is developing a website or app it becomes a total trash. do they even test the app before they release it.",1,
2025-07-26 07:31:07,1,cant access digilocker it crashes,1,
2025-07-26 06:27:28,1,Horrible app doesn't serve its purpose,1,
